Attempted URLs to Fetch,Status Code
http://gould.usc.edu/,200
http://gould.usc.edu/press/article.cfm?newsid=4269,200
http://gould.usc.edu/how/jd/3-plus-3-program/,200
http://gould.usc.edu/about/history/public-interest/,200
http://gould.usc.edu/academics/state-bar-examinations/,200
http://gould.usc.edu/about/aba-required-disclosures/curriculum/,200
http://gould.usc.edu/about/contact/directions/,200
http://gould.usc.edu/why/students/orgs/entertainmentLaw.cfm,200
http://gould.usc.edu/search/?query=degree%2Brequirements,200
http://gould.usc.edu/how/jd/jdapplication.cfm,200
http://gould.usc.edu/students/university-services/,200
http://gould.usc.edu/search/?query=class%2Bprofile,200
http://gould.usc.edu/how/jd/request.cfm,200
http://gould.usc.edu/search/?query=career%2Bservices,200
http://gould.usc.edu/students/disability-student-services/,200
http://gould.usc.edu/search/,200
http://gould.usc.edu/students/student-organizations/,200
http://gould.usc.edu/about/contact/lecturers/,200
http://gould.usc.edu/about/visit/,200
http://gould.usc.edu/academics/curriculum/jd-study-abroad/,200
http://gould.usc.edu/how/jd/classProfile.cfm,301
http://gould.usc.edu/how/jd/international.cfm,200
http://gould.usc.edu/search/?query=application%2Bstatus,200
http://gould.usc.edu/press/social/facebook/,200
http://gould.usc.edu/about/visit/tours/,200
http://gould.usc.edu/how/gip/transfer/,200
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/events/,200
http://gould.usc.edu/search/?query=events,200
http://gould.usc.edu/how/jd/finaid/Aid.cfm,200
http://gould.usc.edu/how/jd/earlydecision/details.cfm,200
http://gould.usc.edu/about/visit/information-sessions/,200
http://gould.usc.edu/faculty/scholarship/,200
http://gould.usc.edu/news/article.cfm?newsID=4269,301
http://gould.usc.edu/search/?query=saks%2Binstitute,200
http://gould.usc.edu/press/faculty/,200
http://gould.usc.edu/about/los-angeles/living/,200
http://gould.usc.edu/about/aba-required-disclosures/faculty-and-administrators/,200
http://gould.usc.edu/about/visit/directions/,200
http://gould.usc.edu/careers/employers/other/,200
http://gould.usc.edu/why/consumer-information/,301
http://gould.usc.edu/how/jd/lsac/lsacDiversityInitiatives.cfm,200
http://gould.usc.edu/about/los-angeles/attractions/,200
http://gould.usc.edu/about/class-profile/,200
http://gould.usc.edu/search/?query=dual%2Bdegrees,200
http://gould.usc.edu/how/gip/vip/,200
http://gould.usc.edu/press/,200
http://gould.usc.edu/about/los-angeles/history/,200
http://gould.usc.edu/why/academics/bar/baradmission.cfm,301
http://gould.usc.edu/students/public-service/,200
http://gould.usc.edu/news/article.cfm?newsID=4275,301
http://gould.usc.edu/how/gip/contact.cfm,200
http://gould.usc.edu/search/?query=cost%2Bof%2Battendance,200
http://gould.usc.edu/about/aba-required-disclosures/employment-statistics/,200
http://gould.usc.edu/about/aba-required-disclosures/overview/,200
http://gould.usc.edu/news/article.cfm?newsID=4274,301
http://gould.usc.edu/academics/state-bar-examinations/bar-admission-in-california/,200
http://gould.usc.edu/academics/curriculum/grading-system/,200
http://gould.usc.edu/about/community/?id=640,200
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/opportunities,301
http://gould.usc.edu/academics/state-bar-examinations/subjects-tested-on-the-california-bar-exam/,200
http://gould.usc.edu/about/contact/,200
http://gould.usc.edu/how/transfer/earlydecision.cfm,200
http://gould.usc.edu/academics/curriculum/,200
http://gould.usc.edu/search/?query=gpa,200
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/,200
http://gould.usc.edu/news/article.cfm?newsID=4271,301
http://gould.usc.edu/how/jd/finaid/apply.cfm,200
http://gould.usc.edu/search/?query=library%2Bhours,200
http://gould.usc.edu/academics/curriculum/first-year-curriculum/,200
http://gould.usc.edu/academics/business-law-program/,200
http://gould.usc.edu/events/printeventinfo.cfm?eventid=5352,200
http://gould.usc.edu/why/students/honors/,301
http://gould.usc.edu/students/first-generation-professionals/,200
http://gould.usc.edu/how/jd/rothman/bio.cfm,200
http://gould.usc.edu/how/jd/recruitingSchedule.cfm,200
http://gould.usc.edu/academics/media%2Dentertainment%2Dand%2Dtechnology%2Dlaw%2Dprogram/opportunities/,200
http://gould.usc.edu/faculty/news/,200
http://gould.usc.edu/includes/flexinav/flexinav.css?last_updated=091515,200
http://gould.usc.edu/why/students/orgs/,200
http://gould.usc.edu/about/board/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=23746,200
http://gould.usc.edu/about/aba-required-disclosures/class-profile/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=322,200
http://gould.usc.edu/giving/counsel.cfm,200
http://gould.usc.edu/how/jd/viewbook/document.pdf,200
http://gould.usc.edu/faculty/distinctions/,200
http://gould.usc.edu/how/gip/studyabroad.cfm,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=68441,200
http://gould.usc.edu/about/aba-required-disclosures/withdrawal-tuition-refund-policy/,200
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/faculty/,200
http://gould.usc.edu/search/?query=transfer%2Bstudents,200
http://gould.usc.edu/academics/faculty/,200
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/contact/,200
http://gould.usc.edu/alumni/contactinfo.cfm,200
http://gould.usc.edu/academics/certificates/adr/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71008,200
http://gould.usc.edu/careers/students/faqs/,200
http://gould.usc.edu/library/services/interlibrary.cfm,200
http://gould.usc.edu/press/advisories/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=68448,200
http://gould.usc.edu/press/expert/,200
http://gould.usc.edu/library/services/access.cfm,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71042,200
http://gould.usc.edu/who/faculty/,301
http://gould.usc.edu/how/jd/2-year-jd-program-for-international-lawyers/,200
http://gould.usc.edu/how/jd/jdApplication.cfm,200
http://gould.usc.edu/how/jd/rothman/scholars.cfm,200
http://gould.usc.edu/academics/certificates/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71043,200
http://gould.usc.edu/alumni/class-notes/,200
http://gould.usc.edu/about/aba-required-disclosures/jd-enrollment-and-ethnicity/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=658,200
http://gould.usc.edu/careers/reciprocity/,200
http://gould.usc.edu/how/jd/viewbook/index.html,200
http://gould.usc.edu/how/gip/2-year/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=351,200
http://gould.usc.edu/faculty/lecturers/,200
http://gould.usc.edu/about/aba-required-disclosures/grants-and-scholarships/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=354,200
http://gould.usc.edu/about/visit/classroom/,200
http://gould.usc.edu/how/jd/rothman/,200
http://gould.usc.edu/about/community/,200
http://gould.usc.edu/how/jd/rothman/details.cfm,200
http://gould.usc.edu/careers/students/counseling/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71030,200
http://gould.usc.edu/events/printeventinfo.cfm?eventid=5721,200
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/students/,200
http://gould.usc.edu/why/students/orgs/evca.cfm,200
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/practicum/,200
http://gould.usc.edu/library/services/map/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=346,200
http://gould.usc.edu/how/transfer/index.cfm,200
http://gould.usc.edu/why/academics/cle/,200
http://gould.usc.edu/about/aba-required-disclosures/qualifications-for-admission-to-the-bar/,200
http://gould.usc.edu/academics/curriculum/academic-calendar/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=345,200
http://gould.usc.edu/about/history/women/,200
http://gould.usc.edu/why/students/orgs/business_law_society.cfm,200
http://gould.usc.edu/how/gip/onlinemsl/,200
http://gould.usc.edu/mockup/layerslider/css/layerslider.css?last_updated=091515,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70034,200
http://gould.usc.edu/why/students/orgs/realEstate.cfm,200
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/news/,200
http://gould.usc.edu/academics/certificates/business/,200
http://gould.usc.edu/careers/students/employment/,200
http://gould.usc.edu/why/students/orgs/afls.cfm,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70770,200
http://gould.usc.edu/events/,200
http://gould.usc.edu/press/article.cfm?newsid=4271,200
http://gould.usc.edu/about/history/,200
http://gould.usc.edu/about/history/timeline/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70769,200
http://gould.usc.edu/why/students/orgs/laab.cfm,200
http://gould.usc.edu/careers/employers/,200
http://gould.usc.edu/students/students-with-families/,200
http://gould.usc.edu/why/students/orgs/armenian.cfm,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71005,200
http://gould.usc.edu/press/article.cfm?newsid=4275,200
http://gould.usc.edu/academics/alternative-dispute-resolution-program/,200
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/curriculum/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71004,200
http://gould.usc.edu/why/students/orgs/pawlaw.cfm,200
http://gould.usc.edu/careers/students/,200
http://gould.usc.edu/careers/contact/,200
http://gould.usc.edu/why/students/orgs/wla.cfm,200
http://gould.usc.edu/how/jd/earlydecision/,200
http://gould.usc.edu/about/contact/faculty/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71006,200
http://gould.usc.edu/press/article.cfm?newsid=4274,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71001,200
http://gould.usc.edu/press/social/twitter/,200
http://gould.usc.edu/about/aba-required-disclosures/living-expenses/,200
http://gould.usc.edu/why/students/orgs/outLaw.cfm,200
http://gould.usc.edu/faculty/workshops/,200
http://gould.usc.edu/alumni/getinvolved/committee.cfm,200
http://gould.usc.edu/why/students/orgs/internationalRelations.cfm,200
http://gould.usc.edu/about/aba-required-disclosures/tuition-and-fees/,200
http://gould.usc.edu/about/aba-required-disclosures/transfer-student-data/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71002,200
http://gould.usc.edu/why/academics/bar/,301
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70010,200
http://gould.usc.edu/library/services/,200
http://gould.usc.edu/alumni/contact.cfm,200
http://gould.usc.edu/why/students/orgs/southasianlawstudentsassociation.cfm,200
http://gould.usc.edu/students/student-services/,200
http://gould.usc.edu/press/publications/magazine/,200
http://gould.usc.edu/why/students/orgs/intellectualProperty.cfm,200
http://gould.usc.edu/careers/alumni,301
http://gould.usc.edu/search/?query=academic%2Bcalendar,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71827,200
http://gould.usc.edu/academics/curriculum/juris-doctor-degree-requirements/,200
http://gould.usc.edu/alumni/getInvolved/committee.cfm,200
http://gould.usc.edu/why/students/orgs/apalsa.cfm,200
http://gould.usc.edu/about/aba-required-disclosures/jd-attrition/,200
http://gould.usc.edu/academics/curriculum/course-descriptions/,200
http://gould.usc.edu/how/transfer/transfer.cfm,200
http://gould.usc.edu/why/students/orgs/streetLaw.cfm,200
http://gould.usc.edu/giving/choices/donatenow.cfm,200
http://gould.usc.edu/about/los-angeles/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71829,200
http://gould.usc.edu/press/?year=2006,200
http://gould.usc.edu/academics/curriculum/upper-division-course-offerings/,200
http://gould.usc.edu/alumni/events/receptions.cfm,200
http://gould.usc.edu/why/students/orgs/btls.cfm,200
http://gould.usc.edu/students/class-and-exam-schedules/,200
http://gould.usc.edu/how/jd/finaid/lrap.cfm,200
http://gould.usc.edu/why/students/orgs/pad.cfm,200
http://gould.usc.edu/careers/students/programming/,200
http://gould.usc.edu/how/jd/faq.cfm,200
http://gould.usc.edu/press/?year=2007,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71828,200
http://gould.usc.edu/about/community/?id=664,200
http://gould.usc.edu/why/students/orgs/jlsa.cfm,200
http://gould.usc.edu/press/article.cfm?newsid=4258,200
http://gould.usc.edu/students/academic-journals-and-honors-programs/,200
http://gould.usc.edu/why/students/orgs/sba.cfm,200
http://gould.usc.edu/how/jd/lsac/lsacLawSchoolForums.cfm,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70008,200
http://gould.usc.edu/events/printeventinfo.cfm?eventid=5130,200
http://gould.usc.edu/portal/,302
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71830,200
http://gould.usc.edu/how/jd/finaid/,200
http://gould.usc.edu/why/students/orgs/pilf.cfm,200
http://gould.usc.edu/how/jd/waitlist_log_in.cfm,200
http://gould.usc.edu/library/services/borrowing.cfm,200
http://gould.usc.edu/about/contact/staff/,200
http://gould.usc.edu/library/resources.cfm,200
http://gould.usc.edu/press/?year=2005,200
http://gould.usc.edu/about/aba-required-disclosures/transfer-policy-and-awarding-of-credit/,200
http://gould.usc.edu/press/?year=2010,200
http://gould.usc.edu/press/contact/,200
http://gould.usc.edu/why/students/orgs/healthlaw.cfm,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70007,200
http://gould.usc.edu/about/los-angeles/getting-around/,200
http://gould.usc.edu/press/?year=2009,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71831,200
http://gould.usc.edu/why/students/orgs/uscgovernmentlaw.cfm,200
http://gould.usc.edu/about/aba-required-disclosures/gpa-and-lsat-scores/,200
http://gould.usc.edu/press/?year=2014,200
http://gould.usc.edu/centers/,200
http://gould.usc.edu/careers/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70009,200
http://gould.usc.edu/about/visit/walking-tour/,200
http://gould.usc.edu/giving/choices/annualFund.cfm,200
http://gould.usc.edu/how/transfer/regulardecision.cfm,200
http://gould.usc.edu/press/?year=2013,200
http://gould.usc.edu/press/publications/clinical/,200
http://gould.usc.edu/why/students/orgs/lawyersguild.cfm,200
http://gould.usc.edu/about/visit/llm/,200
http://gould.usc.edu/about/aba-required-disclosures/,200
http://gould.usc.edu/about/history/interdisciplinary/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71832,200
http://gould.usc.edu/careers/statistics/,301
http://gould.usc.edu/about/introduction/,200
http://gould.usc.edu/press/?year=2012,200
http://gould.usc.edu/why/students/orgs/environmentallaw.cfm,200
http://gould.usc.edu/press/?year=2008,200
http://gould.usc.edu/library/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71836,200
http://gould.usc.edu/faculty/blogs/,200
http://gould.usc.edu/giving/choices/annualfund.cfm,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71835,200
http://gould.usc.edu/press/social/,200
http://gould.usc.edu/library/services/staff.cfm,200
http://gould.usc.edu/why/students/orgs/acs.cfm,200
http://gould.usc.edu/press/?year=2011,200
http://gould.usc.edu/why/students/orgs/laRaza.cfm,200
http://gould.usc.edu/about/history/diversity/,200
http://gould.usc.edu/academics/clinical-programs/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71834,200
http://gould.usc.edu/academics/calendar/,200
http://gould.usc.edu/library/search/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71839,200
http://gould.usc.edu/how/jd/admissionsInformation.cfm,200
http://gould.usc.edu/about/community/?id=702,200
http://gould.usc.edu/faculty/workshops/faculty/,200
http://gould.usc.edu/why/students/orgs/blsa.cfm,200
http://gould.usc.edu/about/community/?id=704,200
http://gould.usc.edu/academics/media-entertainment-and-technology-law-program/courses/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71838,200
http://gould.usc.edu/careers/students/resources/,200
http://gould.usc.edu/site/?desktop,302
http://gould.usc.edu/search/?query=course%2Bdescriptions,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71837,200
http://gould.usc.edu/how/gip/,301
http://gould.usc.edu/academics/curriculum/class-and-exam-schedules/,200
http://gould.usc.edu/why/students/orgs/criminal_law_association.cfm,200
http://gould.usc.edu/press/?year=2016,200
http://gould.usc.edu/how/jd/finaid/costs.cfm,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=400,200
http://gould.usc.edu/careers/employers/recruitment/,200
http://gould.usc.edu/academics/certificates/entertainment/,200
http://gould.usc.edu/how/transfer/visitinfo.cfm,200
http://gould.usc.edu/about/los-angeles/housing/,200
http://gould.usc.edu/about/aba-required-disclosures/bar-passage-rates/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=71841,200
http://gould.usc.edu/why/students/orgs/iraqirefugeeassistance.cfm,200
http://gould.usc.edu/how/visit/,301
http://gould.usc.edu/news/article.cfm?newsID=4258,301
http://gould.usc.edu/favicon.ico,200
http://gould.usc.edu/admissions/graduate/,200
http://gould.usc.edu/press/?year=2015,200
http://gould.usc.edu/why/students/orgs/gouldSportsClub.cfm,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72109,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=65014,200
http://gould.usc.edu/how/gip/mcl/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72100,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72108,200
http://gould.usc.edu/why/students/orgs/federalistSociety.cfm,200
http://gould.usc.edu/faculty/experts/,200
http://gould.usc.edu/how/jd/lsac/lsac.cfm,200
http://gould.usc.edu/academics/curriculum/externships/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70520,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=373,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72101,200
http://gould.usc.edu/careers/alumni/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72106,200
http://gould.usc.edu/how/transfer/,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=72111,200
http://gould.usc.edu/about/contact/lecturers/contactInfo.cfm?detailID=70522,200
http://gould.usc.edu/careers/students/statistics/,200
http://gould.usc.edu/press/publications/identity/,200
